# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
PMUL0287.json	1	Perfect. Can you help me with a reservation for 6 people at 14:30 this coming sunday? And please make sure I have a confirmation number to use.	It is a restaurant that serves modern european food near the centre of town. It is moderately priced. The phone number is 01223259988.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	2	I'm also looking for a place to stay. In the south preferably.	Your reservation is set! The table will be reserved for 15 minutes. Your reference number is LZLUDTVI. Is there anything else you need?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	none	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	3	No particular price range, but I would like it to be a 4 star hotel. 	What price range were you thinking?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	4	Sure, that will work. Can you tell me more about them?	There are no hotels that fit your criteria in the South, but there are two Guesthouses. Would you like to book one of those?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	5	Can I get the postcode for both of them?	Aylesbray Lodge Guesthouse and Rosa's Bed and Breakfast, both are rated at 4 stars and both include free parking and internet. Would you like a reservation for one of them?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	guest house	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	6	No thanks. That's all the help I need. Take care. Bye. 	Aylesbray postcode is cd17sr and Rosa's postcode is cb22ha. Is there anything else I can help you with today?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	guest house	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	1	I actually am looking for a guesthouse, not a hotel.	I found Gonville hotel matching your requirements. Would you like to stay there?	none	none	none	none	none	none	none	none	none	none	none	none	yes	none	none	expensive	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	2	Is there a guesthouse that might be in the cheaper price range in the same area?	Unfortunately, there is nothing that meets your criteria. Is there anything else I can help you with?	none	none	none	none	none	none	none	none	none	none	none	none	yes	none	none	none	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	3	I need it in the east, please.	Yes, we should be able to find you a guesthouse. Remind me of the area you need that in.	none	none	none	none	none	none	none	none	east	none	none	none	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	4	Yes. I need 3 rooms beginning on Tuesday for 2 nights.	I found 3 great guesthouses that meet your criteria! Would you like me to go ahead and book one?	none	none	none	none	none	none	none	none	east	none	none	none	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	5	There are 3 of us.	How many people in total will be staying?	none	none	none	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	6	I was also wondering if you would be able to help me find a place to go to see some great architecture.	I was able to book you a room at the Allenbell. Reference #9BXOZE34. 	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	7	Can I please have the postcode for the Holy Trinity Church?	There are several architectural attractions in the centre of town, such as All Saints Church, Holy Trinity Church, and some others. Would you like to know more about them?	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	8	Okay, great. Thanks for your help!	Yes the postcode is cb23nz for the Holy Trinity Church.	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	3	Thanks so much. Can you also help me find a guesthouse that is moderately priced to stay at?	I would recommend the Cambridge Punter. Unfortunately, I don't have the entrance fee information. Their address is 251a Chesterton Road. I can provide you the phone number if you like.	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	moderate	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	4	That sounds just fine, so long as it is rated 3 stars.	A and b guest house is available would you like to try that?	centre	none	boat	none	none	none	none	none	none	none	none	none	none	a and b guest house	none	moderate	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	5	Are there any 3 stars available?	It is rated 4 stars, is that okay? 	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	6	i also want to book a taxi to leave the attraction by 08:00. get contact number and car type	There are four of such. Do you have an area preference?	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	none	08:00	none	none	none	none	none	none
MUL2690.json	7	Yes. Surprise me with the hotel! As long as it's a 3 star guesthouse in the moderate price range. Book for 2 people and 2 nights starting from Saturday.	Where will the taxi be taking you? And do you still need a hotel?	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	none	08:00	none	none	none	none	none	none
MUL2690.json	8	Alright book a taxi for me as well. I'll need to get to the two places and I'm not familiar with the town. Thanks.	I have booked you a room at the Bridge Guest House, located at 151 hills road. Your reference number number is ZKR6W58Z.	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	bridge guest house	08:00	none	none	none	none	none	none
