# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG01741.json	0	I am looking in town for a hospital with a paediatric clinic		none	none	none	none	none	none	none	paediatric clinic	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01741.json	1	I need the address and phone number and postal code	Addenbrookes Hosptial on Hills Rd. in Cambridge has a paediatric clinic.	none	none	none	none	none	none	none	paediatric clinic	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0228.json	0	Where's the closest hospital with a paediatric intensive care unit? 		none	none	none	none	none	none	none	paediatric intensive care unit	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0228.json	1	Can I get the postcode as well?	Addenbrookes Hospital. The contact number for the paediatric intensive care unit is 01223217715.	none	none	none	none	none	none	none	paediatric intensive care unit	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0228.json	2	That's all I need for now. thank you very much.	It looks like the Post Code is CB20QQ.	none	none	none	none	none	none	none	paediatric intensive care unit	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0235.json	0	I need the address of the hospital and the phone number of the transplant high dependency unit department, please.	I could just call an ambulance	none	none	none	none	none	none	none	transplant high dependency unit	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0235.json	1	Great that's all I needed, thank you!	The address for the hospital is Hills Rd in Cambridge. The phone number for the Transplant High Dependency Unit is 01223216811.	none	none	none	none	none	none	none	transplant high dependency unit	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0238.json	0	Could you find me a hospital in town?		none	none	none	none	none	none	none	do not care	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0238.json	1	Do they have a transitional care department? I would also like to know the postcode and phone number.	Yes, Addenbrookes Hospital is in your area, would you like me to book you an appointment?	none	none	none	none	none	none	none	transitional care	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG0238.json	2	No, I'll just head down, so I don't need anything else at the moment. Later!	Yes they have transitional care. Their post code is CB20QQ and the phone is 01223254668. Would you like me to book that for you?	none	none	none	none	none	none	none	transitional care	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
