# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
MUL2690.json	6	i also want to book a taxi to leave the attraction by 08:00. get contact number and car type	There are four of such. Do you have an area preference?	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	none	08:00	none	none	none	none	none	none
MUL2690.json	7	Yes. Surprise me with the hotel! As long as it's a 3 star guesthouse in the moderate price range. Book for 2 people and 2 nights starting from Saturday.	Where will the taxi be taking you? And do you still need a hotel?	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	none	08:00	none	none	none	none	none	none
MUL2690.json	8	Alright book a taxi for me as well. I'll need to get to the two places and I'm not familiar with the town. Thanks.	I have booked you a room at the Bridge Guest House, located at 151 hills road. Your reference number number is ZKR6W58Z.	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	bridge guest house	08:00	none	none	none	none	none	none
MUL2690.json	9	Nah, that sounds good.	Sure thing. Your taxi is booked for a grey lexus. The contact number is 07466656386. Is there anything else I can help with?	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	bridge guest house	08:00	none	none	none	none	none	none
MUL2690.json	10	You too. Thanks again.	Well glad I could be of assistance. Have a nice day. 	centre	none	boat	none	none	none	none	none	none	saturday	2	2	none	none	none	moderate	3	guest house	none	none	none	none	none	none	none	none	the cambridge punter	bridge guest house	08:00	none	none	none	none	none	none
PMUL0134.json	8	I need a taxi from the hotel to the restaurant, leaving the hotel by 02:30, I have to make sure Im first in line when they open for breakfast.	Their phone number is 01223400170 and their postcode is cb17dy	none	none	none	none	none	none	none	none	south	friday	3	5	none	none	yes	expensive	none	hotel	south	none	none	none	mexican	chiquito restaurant bar	none	none	the lensfield hotel	chiquito restaurant bar	02:30	none	none	none	none	none	none
PMUL0134.json	9	No thats all I need for today. 	Out taxis operate 24/7, so you are in luck. Look for a white skoda, there phone number is 07842340394, any further questions?	none	none	none	none	none	none	none	none	south	friday	3	5	none	none	yes	expensive	none	hotel	south	none	none	none	mexican	chiquito restaurant bar	none	none	the lensfield hotel	chiquito restaurant bar	02:30	none	none	none	none	none	none
MUL1160.json	4	Can you also book me a taxi to take me between the two places? I want to leave the attraction by 04:15.	Booking was successful and your reference number is LCF5IPER.	none	whipple museum of the history of science	none	none	none	none	none	none	none	friday	4	2	none	alexander bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	whipple museum of the history of science	alexander bed and breakfast	04:15	none	none	none	none	none	none
MUL1160.json	5	No, that is all that I needed. Thank you for your help!	Ok. A red audi will pick you up at the museum at 04:15. The contact number is 07264778844. Do you need anything else?	none	whipple museum of the history of science	none	none	none	none	none	none	none	friday	4	2	none	alexander bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	whipple museum of the history of science	alexander bed and breakfast	04:15	none	none	none	none	none	none
SNG0019.json	0	Hi, I need to book a taxi, please? I need to leave sometime after 10:30.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:30	none	none	none	none	none	none
