# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
PMUL4369.json	0	How much does it cost to take the bus in Cambridge?		none	none	none	none	cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL4369.json	1	I will be traveling to london.	Where will you be traveling to?	none	none	none	none	cambridge	london kings cross	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL4369.json	2	I am also looking for a hotel in the west side of Cambridge. Can you help me?	The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL4369.json	3	I want a hotel on the west side that doesn't have to include internet. If no internet, what about free wifi?	There are a few to choose from. Do you prefer a hotel or a guesthouse?	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	no	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL4369.json	4	Are you sure that there are no hotels on the west side of town? With or without internet?	Unfortunately there are no hotels meeting your criteria. Would you like me to look in another part of town?	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1298.json	0	you too have a wonderful day.	I'm glad I could be of assistance. Have a great day.	none	scott polar museum	none	none	cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	london liverpool street	cambridge	none
PMUL1972.json	0	How much does it cost to take the bus in Cambridge?		none	none	none	none	cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	1	I will be traveling to london.	Where will you be traveling to?	none	none	none	none	cambridge	london kings cross	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	2	I am also looking for a hotel in the west side of Cambridge. Can you help me?	The rate for a trip from Cambridge to london kings cross ranges from 18.88 pounds to 23.60 pounds depending on the day of travel.	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	3	I want a hotel on the west side that doesn't have to include internet. If no internet, what about free wifi?	There are a few to choose from. Do you prefer a hotel or a guesthouse?	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	no	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	4	Are you sure that there are no hotels on the west side of town? With or without internet?	Unfortunately there are no hotels meeting your criteria. Would you like me to look in another part of town?	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	5	No price preference, whatever you recommend.	There are four. Do you have a price range in mind?	none	none	none	none	cambridge	london kings cross	none	none	west	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	6	Yes please book for 7 people for 5 nights starting from monday. 	Finches bed and breakfast is a cheap guesthouse in the west with a 4 star rating. It has internet and parking. Would you like me to book this?	none	none	none	none	cambridge	london kings cross	none	none	west	monday	7	5	none	finches bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1972.json	7	I also need to book passage on a train on friday, from cambridge to birmingham new street.	You are booked at Finches Bed and Breakfast. Your reference number is LMAP8LOO. Is there anything else I can help you with?	none	none	none	none	cambridge	london kings cross	none	none	west	monday	7	5	none	finches bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	broxbourne	none	none
PMUL1972.json	8	It needs to leave sometime after 15:45, and I'll need 7 tickets. 	What time do you want to depart?	none	none	none	none	cambridge	london kings cross	none	none	west	monday	7	5	none	finches bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	cambridge	birmingham new street	15:45
PMUL1972.json	9	nope, would just like it to leave after 15:45	Is there a particular time you would like to arrive by?	none	none	none	none	cambridge	london kings cross	none	none	west	monday	7	5	none	finches bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	7	friday	cambridge	birmingham new street	15:45
PMUL1972.json	10	That will be all. Thanks for your help! Bye!	Booking was successful, the total fee is 525.69 GBP payable at the station . Reference number is : ZTJU607W. Anything more I can help with? 	none	none	none	none	cambridge	london kings cross	none	none	west	monday	7	5	none	finches bed and breakfast	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	7	friday	cambridge	birmingham new street	15:45
PMUL1201.json	0	That's disappointing. Can you recommend a taxi or bus service? 	I do not have any trains that match your request. 	none	none	none	wednesday	cambridge	bishops stortford	21:45	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	wednesday	cambridge	bishops storford	21:45
PMUL1201.json	1	Okay. Can you also tell me about a museum to go to in the centre?	I can set you up for bus TR9984, they leave at 23:29 and the price is 10.10 pounds, are you Ok with that?	centre	none	museum	wednesday	cambridge	bishops stortford	21:45	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	wednesday	cambridge	bishops storford	21:45
PMUL1201.json	2	Can you make recommendation?	Of course, there are actually eleven to choose from.	centre	none	museum	wednesday	cambridge	bishops stortford	21:45	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	wednesday	cambridge	bishops storford	21:45
PMUL1201.json	3	Thank you, can I have the post code for that museum.	I like the Museum of Archaelogy and Anthropology. It is located at the University of Cambridge.	centre	museum of archaelogy and anthropology	museum	wednesday	cambridge	bishops stortford	21:45	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	wednesday	cambridge	bishops storford	21:45
PMUL1201.json	4	That is all I needed. Thanks!	Yes, the postcode is cb23dz, can I assist with anything else?	centre	museum of archaelogy and anthropology	museum	wednesday	cambridge	bishops stortford	21:45	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	wednesday	cambridge	bishops storford	21:45
PMUL3908.json	0	I am looking for information in Cambridge		none	none	none	none	none	cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3908.json	1	I'm looking for a hotel called, Archway House.	What type of information do you need help with?	none	none	none	none	none	cambridge	none	none	none	none	none	none	none	archway house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3908.json	2	Alright. I'd like a room on saturday for 4 nights. 2 people will be staying.	It is in the moderate price range at 52 gilbert road 	none	none	none	none	none	cambridge	none	none	none	saturday	2	4	none	archway house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3908.json	3	I will also need a train for Saturday, leaving after 13:45.	Booking was successful.Reference number is : S9V74O1G. can i be of any help again?	none	none	none	none	none	cambridge	none	none	none	saturday	2	4	none	archway house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	13:45
