# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
PMUL1181.json	4	I am also looking for a multi sport in the East. 	Booking was successful, the total fee is 17.6 GBP payable at the station. Your reference number is AXH1NM1I. Do you need assistance with anything else?	east	none	multiple sports	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1	wednesday	norwich	cambridge	18:45
PMUL1181.json	5	I would like to get the phone number, please.	It looks like there is The Cherry Hinton Village Centre. Can I get you more information about it? 	east	the cherry hinton village centre	multiple sports	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1	wednesday	norwich	cambridge	18:45
PMUL1181.json	6	Oh, and what is their postcode, please?	their phone number is 01223576412. anything else?	east	the cherry hinton village centre	multiple sports	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1	wednesday	norwich	cambridge	18:45
PMUL1181.json	7	That is all for now thank you.	Sure, the postcode is cb19ej. Can I help you find any other information about Cambridge?	east	the cherry hinton village centre	multiple sports	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1	wednesday	norwich	cambridge	18:45
PMUL2804.json	6	I was also wondering if you would be able to help me find a place to go to see some great architecture.	I was able to book you a room at the Allenbell. Reference #9BXOZE34. 	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	7	Can I please have the postcode for the Holy Trinity Church?	There are several architectural attractions in the centre of town, such as All Saints Church, Holy Trinity Church, and some others. Would you like to know more about them?	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL2804.json	8	Okay, great. Thanks for your help!	Yes the postcode is cb23nz for the Holy Trinity Church.	none	none	architecture	none	none	none	none	none	east	tuesday	3	2	yes	none	none	cheap	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	0	Can you recommend some fun entertainment in the centre?		centre	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	1	I prefer something related to boats	I have many options available. What type of attraction do you prefer?	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2690.json	2	Can you tell me the address and entrance fee for one of them?	I have two in the centre. Would you like to know anything else about them?	centre	none	boat	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
