# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
PMUL1635.json	0	I need to book a hotel in the east that has 4 stars. 		none	none	none	none	none	none	none	none	east	none	none	none	none	none	none	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1635.json	1	That doesn't matter as long as it has free wifi and parking.	I can help you with that. What is your price range?	none	none	none	none	none	none	none	none	east	none	none	none	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1635.json	2	Could you book the Wartworth for one night, 1 person?	If you'd like something cheap, I recommend the Allenbell. For something moderately priced, I would recommend the Warkworth House.	none	none	none	none	none	none	none	none	east	none	none	none	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1635.json	3	Friday and Can you book it for me and get a reference number ?	What day will you be staying?	none	none	none	none	none	none	none	none	east	friday	1	1	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL1635.json	4	I am looking to book a train that is leaving from Cambridge to Bishops Stortford on Friday. 	Booking was successful. Reference number is : BMUKPTG6. Can I help you with anything else today?	none	none	none	none	none	none	none	none	east	friday	1	1	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	cambridge	bishops stortford	none
PMUL1635.json	5	I want to get there by 19:45 at the latest. 	There are a number of trains leaving throughout the day. What time would you like to travel?	none	none	none	none	none	none	none	none	east	friday	1	1	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	19:45	none	friday	cambridge	bishops stortford	none
PMUL1635.json	6	Yes please. I also need the travel time, departure time, and price.	Okay! The latest train you can take leaves at 17:29, and arrives by 18:07. Would you like for me to book that for you?	none	none	none	none	none	none	none	none	east	friday	1	1	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	19:45	1	friday	cambridge	bishops stortford	none
PMUL1635.json	7	Yes. Sorry, but suddenly my plans changed. Can you change the Wartworth booking to Monday for 3 people and 4 nights?	Reference number is : UIFV8FAS. The price is 10.1 GBP and the trip will take about 38 minutes. May I be of any other assistance?	none	none	none	none	none	none	none	none	east	monday	3	4	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	19:45	1	friday	cambridge	bishops stortford	none
PMUL1635.json	8	Thank you very much, goodbye.	I have made that change and your reference number is YF86GE4J	none	none	none	none	none	none	none	none	east	monday	3	4	yes	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	19:45	1	friday	cambridge	bishops stortford	none
PMUL0287.json	2	I'm also looking for a place to stay. In the south preferably.	Your reservation is set! The table will be reserved for 15 minutes. Your reference number is LZLUDTVI. Is there anything else you need?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	none	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	3	No particular price range, but I would like it to be a 4 star hotel. 	What price range were you thinking?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	4	Sure, that will work. Can you tell me more about them?	There are no hotels that fit your criteria in the South, but there are two Guesthouses. Would you like to book one of those?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	none	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	5	Can I get the postcode for both of them?	Aylesbray Lodge Guesthouse and Rosa's Bed and Breakfast, both are rated at 4 stars and both include free parking and internet. Would you like a reservation for one of them?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	guest house	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL0287.json	6	No thanks. That's all the help I need. Take care. Bye. 	Aylesbray postcode is cd17sr and Rosa's postcode is cb22ha. Is there anything else I can help you with today?	none	none	none	none	none	none	none	none	south	none	none	none	none	none	none	none	4	guest house	centre	sunday	6	14:30	modern european	riverside brasserie	moderate	none	none	none	none	none	none	none	none	none	none
PMUL3470.json	0	I am looking for a specific hotel, its name is express by holiday inn cambridge 		none	none	none	none	none	none	none	none	none	none	none	none	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3470.json	1	Yes, could you book the hotel room for me for 7 people?	I have the Express by Holiday Inn Cambridge located on 15-17 norman way, coldhams business park. Their phone number is 01223866800. Would you like to know anything else?	none	none	none	none	none	none	none	none	none	none	none	none	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3470.json	2	Monday, please. There will be 7 of us and we'd like to stay for 4 days.	Yes, of course. What day would you like to stay? 	none	none	none	none	none	none	none	none	none	monday	7	4	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3470.json	3	Thank you. I would also like to book a train, please.	Here is the booking information:Booking was successful. Reference number is : 5F8G6J1G	none	none	none	none	none	none	none	none	none	monday	7	4	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
PMUL3470.json	4	I will be going from cambridge to birmingham new street.	Sure, which stations will you be traveling between?	none	none	none	none	none	none	none	none	none	monday	7	4	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	monday	cambridge	birmingham new street	none
PMUL3470.json	5	Whenever will get me there by 17:30. I do need to leave on Friday and I will need the travel time please. 	What time would you like to leave? The trains depart every hour.	none	none	none	none	none	none	none	none	none	monday	7	4	none	express by holiday inn cambridge	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:30	none	friday	cambridge	birmingham new street	none
